F001_a,leader_18,isbn_tag,isbn_tag1,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,class
1077263478,i,1--4985,1--4985,2018,1,0,1,"lexington books, an imprint of the rowman and littlefield publishing group inc",imprint
1097156600, ,1--62841,1--62841,2015,1,1,1,spie. ;; spie press,double
962138968,i,3--96098,3--96098,2016,1,0,1,"koenig books, in association with barbican art gallery",
908103195,i,1--4381,1--4381,2014,1,0,1,"chelsea house, an imprint of infobase learning",imprint
916723997,i,1--4950,1--4950,2016,1,0,1,"backbeat books, an imprint of hal leonard corporation",imprint
1039295487,i,1--68415,1--68415,2019,1,0,1,"archaia, a division of boom entertainment inc",
908448177,i,0--520,0--520,2015,1,0,1,"katherine e. nash gallery at the university of minnesota, in association with university of california press",
964423245,a,,,1985,0,1,0,claitor's publishing division,
962528282,a,0--262,0--262,1970,0,0,1,"published for the fogg art museum, harvard university and the dept. of humanities, m.i.t. by m.i.t. press",
1045070761,i,1--948221,1--948221,2018,1,0,1,"1984 whiz kids, an imprint of 1984 publishing",imprint
1080312562,i,1--78603,1--78603,2018,1,0,1,"lincoln children's books, an imprint of the quarto group",imprint
857405385,i,1--4765,1--4765,2014,1,0,1,"capstone press, a capstone imprint",imprint
1045244410,i,0--8389,0--8389,2017,1,0,1,"ala neal-schuman, an imprint of the american library association",imprint
1097134113, ,1--5231 ;; 1--910242,1--5231,2016,1,1,1,smithers rapra. ;; smithers rapra,double
920866096,i,1--62157,1--62157,2015,0,0,1,"regnery publishing, a division of salem media group",
908746975,a,87--7124,87--7124,2014,0,3,0,"gazelle book services ltd. : ;; aarhus university press, ;; isd",double
965588119,i,0--385,0--385,2014,1,0,1,"schwartz and wade books, an imprint of random house children's books",imprint
1058140662,i,1--4899 ;; 0--387 ;; 1--280,1--4899,2009,1,1,1,"springer-verlag new york, ;; springer",double
1023863095,i,0--12,0--12,2018,1,0,1,"morgan kaufmann, an imprint of elsevier",imprint
962552888,i,1--350,1--350,2017,0,0,1,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint
1058350984,i,0--226,0--226,1976,1,0,2,"university of chicago press, ;; university of chicago press",double
857846955,i,1--4424,1--4424,2013,1,0,1,"simon and schuster books for young readers, an imprint of simon and schuster's children's publishing division",imprint
1050926531,a,0--06,0--06,2018,1,0,1,"balzer+bray, an imprint of harpercollins publishers",imprint
1058794014,i,9956--762,9956--762,2015,1,0,2,distributed in and outside n. america by african books collective. ;; langaa research and publishing cig,double
1097113045, ,1--5017,1--5017,1983,1,1,1,"cornell university press, ;; cornell university press",double
1083743161,i,0--14 ;; 0--224,0--224,2015,0,0,2,"jonathan cape, ;; puffin books",double
964902269,i,1--4408,1--4408,2016,1,0,1,"abc-clio, an imprint of abc-clio llc",imprint
1057997529,i,1--4051 ;; 1--55786,1--55786,2001,1,0,2,"blackwell, ;; blackwell publishers inc",double
1007290570,i,0--12,0--12,2018,1,0,1,"academic press, an imprint of elsevier",imprint
1027742209,i,1--4328,1--4328,2018,1,0,1,"thorndike press, a part of gale, a cengage company",
1039471012,a,0--06,0--06,2018,1,0,1,"ecco, an imprint of harpercollins publishers",imprint
921866916,i,1--63235,1--63235,2016,1,0,1,"12-story library, an imprint of peterson publishing company",imprint
956739145,i,1--84457,1--84457,2016,1,0,1,palgrave on behalf of the british film institute,
1001976226,i,0--7377,0--7377,2016,0,1,0,"greenhaven press, a part of gale, cengage learning",
932124529,i,0--12,0--12,2015,1,0,1,academic press is an imprint of elsevier,imprint
1040078834,i,1--4621,1--4621,2018,1,0,1,"front table books, an imprint of cedar fort inc",imprint
1061079574,i,0--06,0--06,2018,1,0,1,"dey st., an imprint of william morrow",imprint
897920843,i,,,1961,1,0,1,published by t.f.h. publications inc,
857800431,a,1--137,1--137,2013,0,0,1,"palgrave macmillan in association with st antony's college, oxford",
899952491,i,1--4104,1--4104,2015,1,0,1,"thorndike press, a part of gale, cengage learning",
956694081,i,1--4671,1--4671,2016,1,0,1,published by the history press,
962749888,i,0--06,0--06,2017,1,0,1,"greenwillow books, an imprint of harpercollinspublishers",imprint
884440043,i,0--7660,0--7660,2015,1,0,1,"enslow elementary, an imprint of enslow publishers inc",imprint
950955032,i,0--06,0--06,2017,1,0,1,"harperelixir, an imprint of harpercollins publishers",imprint
1084729833,i,1--250,1--250,2019,1,0,1,"square fish, an imprint of macmillan publishing group",imprint
870439259,i,,,2011,0,1,0,university press,
962750069,i,0--06,0--06,2017,1,0,1,"harper wave, an imprint of harpercollinspublsihers",imprint
646975063, ,,,1962,0,1,0,published for the dept. of archaeology and anthropology at the university press,
946527251,i,0--02,0--02,2016,1,0,1,"macmillan reference usa, a part of gale, cengage learning",
1058126507,i,1--4831,1--4831,1972,1,0,2,"pergamon press inc., ;; pergamon press",double
1000297942,i,1--61234,1--61234,2018,1,0,1,"potomac books, an imprint of the university of nebraska press",imprint
1002028577,i,1--351 ;; 1--315,1--351,2018,1,0,1,"routledge, an imprint of the taylor and francis group",imprint
940558977,i,1--68217 ;; 1--61925,1--61925,2016,1,0,1,"salem press, a division of ebsco information services inc",
1030441988,i,0--451,0--451,2016,1,0,1,"roc, new american library, an imprint of penguin random house llc",imprint
1030444837,i,1--4328,1--4328,2018,1,0,1,"thorndike press, a part of gale, a cengage company",
905239738,i,0--9850456,0--9850456,2014,1,0,1,published for the masters institute by quantum press llc,
939995774,i,1--84822,1--84822,2016,1,0,1,"lund humphries, in association with the association for research into crimes against art",
1020427441,i,0--06,0--06,2017,0,0,1,"william morrow, an imprint of harpercollinspublishers",imprint
1028555031,i,1--78240,1--78240,2018,1,0,1,"ivy press, an imprint of the quarto group",imprint
917329719,i,1--119,1--119,2015,1,0,1,"visual, a wiley brand",
960210203,i,1--4742,1--4742,2017,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing, plc",imprint
958099576,i,1--4742,1--4742,2017,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint
861220511,i,1--62266,1--62266,2013,1,0,1,"brazen, an imprint of entangled publishing llc",imprint
957580792,i,,,2016,0,1,0,"routledge, is an imprint of the taylor and francis group",imprint
852732757,i,0--7642,0--7642,2013,0,1,0,"bethany house publishers, a division of baker publishing group",
1058936952,i,1--118 ;; 1--306 ;; 1--119,1--119,2015,1,0,1,"jossey-bass, a wiley brand",
775979967,a,,,1983,0,1,0,published for the freer gallery of art by the smithsonian institution press,
1005334672,i,1--5321,1--5321,2018,1,0,1,"super sandcastle, an imprint of abdo publishing",imprint
1041942254,i,1--4351,1--4351,2016,1,0,1,"sandy creek, an imprint of sterling publishing co. inc",imprint
20898898,a,,,1957,0,1,0,published by billie's litho and letter shop,
904884313,i,0--14,0--14,2014,1,0,1,"puffin books, an imprint of penguin group (usa)",imprint
1029789826,i,1--4328,1--4328,2018,1,0,1,"wheeler publishing, a part of gale, a cengage company",
1086308242,i,0--316,0--316,2018,1,0,1,"black dog and leventhal publishers, an imprint of hachette books",imprint
1072021829,i,1--351,1--351,2018,1,0,1,"taylor and francis, an imprint of crc press",imprint
908084504,i,1--4104,1--4104,2015,1,0,1,"thorndike press, a part of gale, cengage learning",
946012812,i,0--06,0--06,2016,1,0,1,"harper, an imprint of harpercollinspublishers",imprint
1088678494,i,1--101,1--101,2018,1,0,1,"dutton, an imprint of penguin random house llc",imprint
889613120,i,1--306 ;; 1--62275,1--62275,2014,1,0,1,britannica educational publishing in association with rosen publishing group inc,
1048759474,i,1--119,1--119,2018,1,0,1,"sybex, a wiley brand",
1039924762,i,0--06,0--06,2018,1,0,1,"william morrow, an imprint of harpercollinspublishers",imprint
1011517579,i,0--08,0--08,2018,1,0,1,"chandos publishing, an imprint of elsevier",imprint
1001571857,i,0--12,0--12,2018,1,0,1,butterworth-heinemann is an imprint of elsevier,imprint
959892064,i,93--5177,93--5177,2016,1,0,1,"harper perennial, an imprint of harpercollins publishers",imprint
1037883822,i,1--4328,1--4328,2018,1,0,1,"thorndike press, a part of gale, a cengage company",
922220594,i,1--4104,1--4104,2016,1,0,1,"wheeler publishing, a part of gale, cengage learning",
941714821,i,1--5013,1--5013,2016,1,0,1,"fairchild books, an imprint of bloomsbury publishing inc",imprint
885415991,a,1--59077,1--59077,2014,0,1,0,"m. evans, an imprint of the rowman and littlefield pub. group",imprint
965580488,i,1--4104,1--4104,2015,0,0,1,"thorndike press, a part of gale, cengage learning",
966410730,i,1--942993,1--942993,2016,1,0,1,"vertical comics, an imprint of vertical inc",imprint
964584369,i,0--12,0--12,2017,1,0,1,academic press is an imprint of elsevier,imprint
1033506213,i,0--399,0--399,2017,1,0,1,"tarcherperigee, an imprint of penguin random house llc",imprint
868225216,i,1--59413,1--59413,2013,1,0,1,"large print press, a part of gale, cengage learning",
857981663,i,0--567,0--567,2015,1,0,1,"bloomsbury t and t clark, an imprint of bloomsbury publishing plc",imprint
913924695,i,0--451,0--451,2016,1,0,1,"obsidian, published by new american library, an imprint of penguin random house llc",imprint
798866271,a,0--87263,0--87263,1997,0,2,0,"society of manufacturing engineers, ;; university microfilms international",double
879248386,i,1--4104,1--4104,2014,1,0,1,"thorndike press, a part of gale, cengage learning",
1043484353,i,1--5011,1--5011,2018,1,0,1,"pocket books, an imprint of simon and schuster inc",imprint
918589151,i,1--4426,1--4426,2015,1,0,1,published for the ontario economic council by university of toronto press,
900888379,i,1--4832,1--4832,1995,1,0,1,published for the international federation of automatic control by pergamon,
931327094,i,0--06,0--06,2015,1,0,1,"witness impulse, an imprint of harper collins publishers",imprint
5724309,i,0--521,0--521,1979,0,1,0,university press,
944088145,i,1--68080,1--68080,2017,1,0,1,"abdo kids, a division of abdo",
903963516,i,1--62275,1--62275,2015,1,0,1,britannica educational publishing in association with rosen educational services,
1004257005,i,0--06,0--06,2018,1,0,1,harper business,
938394545,i,1--84682,1--84682,2017,1,0,1,four courts press in association with the irish legal history society,
964902339,i,1--4408,1--4408,2016,1,0,1,"praeger, an imprintof abc-clio llc",imprint
948261945,i,1--84457,1--84457,2016,1,0,1,palgrave on behalf of the british film institute,
1038720613, ,0--9943035,0--9943035,2018,1,1,1,"corruption and crime commission, ;; western australian government - corruption and crime commission",double
8118408,i,,,1950,1,0,1,"general motors corporation, chevrolet motor division",
930287020,i,,,2012,1,0,1,photonola in association with the new orleans photo alliance,
505061037,a,,,1999,0,1,0,hodder and stoughton in association with the geographical association,
898125177,i,1--4104,1--4104,2015,1,0,1,"wheeler publishing, a part of gale, cengage learning",
1087874402,i,1--4696,1--4696,2004,1,0,1,"published for the omohundro institute of early american history and culture, williamsburg, virginia by the university of north carolina press",
868644016,i,0--06,0--06,2015,1,0,1,"dey st., an imprint of william morrow publishers",imprint
1074323315,i,0--06,0--06,2018,1,0,1,"greenwillow books, an imprint of harpercollins publishers",imprint
967368989,i,1--4725 ;; 1--4742,1--4725,2017,1,0,1,"bloomsbury, bloomsbury academic an imprint of bloomsbury publishing plc",imprint
1021063061,i,0--06,0--06,2018,1,0,1,"harperteen, an imprint of harpercollinspublishers",imprint
754987768,a,,,1966,0,1,0,published by phaidon p. for the samuel h. kress foundation,
1026289499,i,1--4328,1--4328,2018,1,0,1,"thorndike press, a part of gale, a cengage company",
1023531040,i,0--567,0--567,2018,1,0,1,"bloomsbury t and t clark, an imprint of bloomsbury publishing plc",imprint
1030444207,i,0--399,0--399,2019,1,0,1,"schwartz and wade books, an imprint of random house children's books",imprint
1078144998,i,0--691,0--691,2018,1,0,2,"princeton university pres, ;; princeton university press",double
1054143781,i,1--9848,1--9848,2018,1,0,1,"clarkson potter/publishers, an imprint of the crown publishing group",imprint
930255341,i,0--12,0--12,2016,0,0,1,academic press is an imprint of elsevier,imprint
1001863739,i,0--08,0--08,2018,1,0,1,woodhead publishing an imprint of elsevier,imprint
1097109322,i,1--4384,1--4384,2015,1,1,1,"suny press, ;; state university of new york press",double
843858329,i,0--8047,0--8047,2013,1,0,1,"stanford law books, an imprint of stanford university press",imprint
1097136685, ,1--78801,1--78801,2018,1,1,1,"royal society of chemistry, ;; royal soc of chemistry",double
1048281980,i,1--78742,1--78742,2018,1,0,1,globe law and business,
1046449374,i,0--06,0--06,2018,1,0,1,"harper, an imprint of harpercollinspublishers",imprint
885228444,i,1--4104,1--4104,2014,1,0,1,"thorndike press, a part of gale, cengage learning",
1083733096,i,1--78541 ;; 1--59413,1--59413,2016,0,0,2,"f.a. thorpe (publishing), ;; large print press, a part of gale, cengage learning",double
1054370887,i,1--4104,1--4104,2014,1,1,1,"thorndike press, ;; thorndike pr",double
1012001091,i,0--316,0--316,2015,1,0,1,"little, brown and company, a division of hachette book group, inc.,©2015",
845854271,i,,,1965,0,1,0,university press,
897777054,i,1--250,1--250,2014,1,0,2,"st. martin's griffin, ;; griffin",double
908335114,i,1--4806 ;; 1--4844 ;; 0--06,0--06,2015,1,0,1,"harperfestival, an imprint of harpercollinspublishers",imprint
932386160,a,0--425,0--425,2016,0,1,0,"puffin books, an imprint of penguin random house",imprint
964329626,i,1--4742,1--4742,2018,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint
952964481,i,1--4104,1--4104,2016,1,0,1,"wheeler publishing, a part of gale, cengage learning",
757425989,a,,,2009,0,1,0,wesleyan university press published by university press of new england,
930489557,i,1--4408,1--4408,2016,1,0,1,"praeger, an imprint of abc-clio llc",imprint
1001563778,i,1--4328,1--4328,2017,1,0,1,"wheeler publishing, a part of gale, a cengage company",
1082213748,i,0--429,0--429,2015,1,0,1,"crc press, an imprint of taylor and francis",imprint
952385082,i,1--78327,1--78327,2017,1,0,1,boydell press is an imprint of boydell and brewer ltd,imprint
3284054,i,,,1974,0,1,0,published for the schools council by macdonald educational,
1090355434,i,0--06,0--06,2018,1,0,1,"harper, an imprint of harpercollinspublishers",imprint
1013589221,i,1--68415,1--68415,2018,1,0,1,"archaia, a division of boom entertainment inc",
935690030,i,,,2013,0,0,1,"nancy paulsen books, an imprint of penguin group (usa) inc",imprint
861673549,i,0--14 ;; 0--8037,0--14,2014,1,0,1,"speak, an imprint of the penguin group",imprint
1090075985,i,1--4838,1--4838,2004,0,0,1,"brighter child, an imprint of carson-dellosa publishing llc",imprint
32681169,i,,,1966,1,0,1,"general motors corporation, chevrolet motor division",
1083856116,i,,,2016,1,0,1,"random house children's books, a division of penguin random house llc",
938708582,i,1--63159 ;; 1--62788,1--62788,2016,1,0,1,"rockport publishers, an imprint of quarto publishing group, usa inc",imprint
1004231788,i,1--943874,1--943874,2018,1,0,1,"solution tree press, a division of solution tree",
1004267158,i,1--4725,1--4725,2017,1,0,1,"bloomsbury visual arts, an imprint of bloomsbury publishing plc",imprint
1090277943,i,1--4328,1--4328,2019,1,0,1,"thorndike press, a part of gale, a cengage company",
907204629,i,1--4104,1--4104,2015,1,0,1,"thorndike press, a part of gale, cengage learning",
1058212417,i,0--00 ;; 0--375,0--00,2003,0,1,1,"harpercollins, ;; harpercollins publishers",double
1042350744,i,0--06,0--06,2019,1,0,1,"william morrow, an imprint of harpercollinspublishers",imprint
914290099,i,1--4844 ;; 1--61655,1--61655,2016,1,0,1,"dark horse books, a division of dark horse comics inc",
1088904605,i,1--4328,1--4328,2018,1,0,1,"thorndike press, a part of gale, a cengage company",
953850494,i,1--61479,1--61479,2017,1,0,1,"abdo spotlight, a division of abdo",
1029057722,i,1--350,1--350,2018,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint
7550289,a,0--901927,0--901927,1980,0,1,0,neshei ubnos chabad - the women's and girls division of the lubavitch foundation of great britain,
1012776811,i,0--525,0--525,2018,1,0,1,"avery, an imprint of penguin random house",imprint
931004913,a,0--12,0--12,2015,0,1,0,academic press is an imprint of elsevier,imprint
654484408,i,,,1963,1,0,1,published for the inter-university case program by the university of alabama press,
951809782,i,0--547,0--547,2005,1,0,2,"seedlings braille books, ;; hmh books",double
912873008,i,1--4104,1--4104,2015,1,0,1,"thorndike press, a part of gale, cengage learning",
1012802996,i,1--63440,1--63440,2018,1,0,1,"rocking chair kids, an imprint of red chair press",imprint
1035401466,i,0--06,0--06,2019,1,0,1,"harper design, an imprint of harpercollinspublishers",imprint
1081401730,i,,,2018,1,0,1,"thorndike press, a part of gale, a cengage company",
884298491,a,1--4549,1--4549,2015,0,0,1,"splinter, an imprint of sterling publishing",imprint
1020868382,i,1--4494,1--4494,2016,1,0,1,"andrews mcmeel publishing, a division of andrews mcmeel universal",
936192134,i,0--451,0--451,2016,1,0,1,"grosset and dunlap, an imprint of penguin ran\dom house",imprint
1097135069,i,1--118,1--118,2000,1,1,1,"john wiley and sons, ;; wiley publishing inc",double
915038364,a,0--12,0--12,2015,0,1,0,morgan kaufmann is an imprint of elsevier,imprint
60423700,i,0--8085 ;; 0--380,0--380,2005,1,0,1,"harpertrophy, an imprint of harpercollins publishers",imprint
887865468,i,0--12,0--12,2014,1,0,1,academic press is an imprint of elsevier,imprint
876323659,i,1--907538,1--907538,2005,1,0,1,ecotec research and consulting ltd. on behalf of the youth justice board for england and wales and arts council england,
900594461,i,0--7636,0--7636,2015,1,0,1,"templar books, an imprint of candlewick press",imprint
1048933767,i,1--4965,1--4965,2019,1,0,1,"stone arch books, a capstone imprint",imprint
1005360814,i,1--317 ;; 1--315,1--315,2017,1,0,1,"routledge, an imprint of the taylor and francis group",imprint
1016815633,i,0--544,0--544,2018,1,0,1,"clarion books, an imprint of houghton mifflin harcourt",imprint
926664439,i,0--12,0--12,2016,1,0,1,"elsevier/ap, academic press is an imprint of elsevier",imprint
931671782,i,1--74130,1--74130,2013,1,0,2,"five senses publication, ;; five senses education pty, limited",double
961523278,i,,,1987,1,0,2,"pro/am music resources, ;; kahn and averill",double
828774744,i,1--61781,1--61781,2013,1,0,1,"dogwise publishing, a division of direct book service inc",
830328931,a,1--74321,1--74321,1994,0,2,0,"lonely planet, ;; lonely planet publications",double
965588611,a,0--7364,0--7364,2011,0,0,1,"golden books, an imprint of random house children's books, a division of random house llc",imprint
1047696465,i,1--4735,1--4735,2018,1,0,1,"del rey, an imprint of ebury publishing",imprint
940281240,i,1--250,1--250,2017,1,0,1,"imprint, a part of macmillan children's publishing group",imprint
1080667750,i,1--4104,1--4104,2016,1,1,1,"thorndike press large print, ;; thorndike pr",double
14142538, ,,,1964,0,1,0,"dover publications, on behalf of the institution of mechanical engineers",
1009018672,i,1--4729,1--4729,2017,1,0,1,"bloomsbury natural history, an imprint of bloomsbury publishing plc",imprint
1058077054,i,0--262,0--262,1976,1,0,2,"mit press, ;; mit press",double
1013942804,i,0--316,0--316,2017,1,0,1,"yen press, an imprint of yen press llc",imprint
921931867,i,,,2015,1,0,1,butterworth-heinemann is an imprint of elsevier,imprint
920465784,i,0--06,0--06,2014,1,0,1,"harper, an imprint of harpercollinspublishers",imprint
1044435670,a,,,1958,0,1,0,published for the common council for american unity by oceana publications,
17793375,a,,,1972,0,1,0,"dist. by division of laboratories and research, new york state dept. of health",
1002085558,a,,,1994,0,1,0,"published by the black belt press, for the alabama folklife association",
964528953,i,0--12,0--12,2016,1,0,1,academic press is an imprint of elsevier,imprint
1011963330,i,1--4328,1--4328,2017,1,0,1,"thorndike press, a part of gale, cengage learning",
1021054966,i,1--4621,1--4621,2017,1,0,1,"cfi, an imprint of cedar fort inc",imprint
917367169,i,1--4725,1--4725,2015,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing, plc",imprint
1080213630,i,1--119,1--119,2019,1,0,1,"for dummies, a wiley brand",
679862290,i,0--316 ;; 0--689,0--689,1996,0,1,0,simon and schuster children's pub. division,
859586070,a,0--06,0--06,2014,0,1,0,"katherine tegen books, an imprint of harpercollins publishers",imprint
1096314670,i,1--63217,1--63217,2019,1,0,1,"little bigfoot, an imprint of sasquatch books",imprint
885014821,i,1--118,1--118,2014,1,0,1,"sybex, a wiley brand",
929997949,a,1--941987,1--941987,2015,0,0,1,"angelic knight press, an imprint of ragnarok publications",imprint
1080420489,i,1--5225,1--5225,2019,1,0,1,"business science reference, an imprint of igi global",imprint
877898833,i,0--06,0--06,2014,1,0,1,"harperone, an imprint of harpercollins publisher",imprint
1009007642,i,1--4091,1--4091,2017,1,0,1,"orion spring, an imprint of the orion publishing group ltd",imprint
1099551367,a,0--06,0--06,2019,1,0,1,"harper, an imprint of harpercollins publishers",imprint
1020300487,i,1--4328,1--4328,2018,1,0,1,"thorndike press, a part of gale, a cengage company",
1083065927,i,0--241,0--241,2019,1,0,1,penguin business,
946906624,i,1--4408,1--4408,2017,1,0,1,"praeger, an imprint of abc-clio llc",imprint
1033583823,i,1--4328,1--4328,2018,1,0,1,"thorndike press, a part of gale, a cengage company",
926723415,i,0--06,0--06,2015,1,0,1,"harper, and imprint of harpercollinspublishers",imprint
885228451,i,1--4104,1--4104,2014,1,0,1,"thorndike press, a part of gale, cengage learning",
1048600309,i,1--5011,1--5011,2018,1,0,1,"atria books, an imprint of simon and schuster inc",imprint
28523660,i,0--380,0--380,1993,1,0,1,"avon books, a division of the hearst corporation",
1054402764,i,1--78157,1--78157,2018,1,0,1,"ilex, a division of octopus publishing group ltd",
952412845,i,1--5063,1--5063,2017,1,0,1,"cq press, an imprint of sage publications",imprint
961108021,i,,,2016,1,0,1,"random house children's books, a division of penguin random house llc",
938563320,i,1--4081,1--4081,2016,1,0,1,"bloomsbury education, an imprint of bloomsbury publishing plc",imprint
1015816246,i,1--5264,1--5264,2018,1,0,1,"learning matters, an imprint of sage publications ltd",imprint
744618493,a,,,1988,0,1,0,simon and schuster published in cooperation with the royal horticultural society,
957459984,i,0--12,0--12,2016,1,0,1,syngress is an imprint of elsevier,imprint
905222288,i,1--4104,1--4104,2015,1,0,1,"thorndike press, a part of gale, cengage learning",
1097143825, ,1--282 ;; 0--472,0--472,2004,1,1,1,"university of michigan press, ;; university of michigan press",double
1002218272,i,1--4525,1--4525,2015,1,0,1,"balboa press, a division of hay house",
1006319878,i,1--5013,1--5013,2017,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing inc",imprint
910412803,i,1--4742,1--4742,2016,1,0,1,"bloomsbury arden shakespeare, an imprint of bloomsbury publishing plc",imprint
462011240, ,,,1961,0,1,0,university press,
50806312,i,0--7434 ;; 1--84154,0--7434,2002,1,0,1,"black library, an imprint of games workshop ltd",imprint
905098454,i,1--61925,1--61925,2014,1,0,1,"salem press, a division of ebsco information services",
1022947390,i,1--4549,1--4549,2018,1,0,1,"sterling children's books, an imprint of sterling publishing co. inc",imprint
562319247,i,,,1958,1,0,1,"harvard university, graduate school of business administration, division of research",
864789917,i,1--4548,1--4548,2014,1,0,1,wolters kluwer law and business,
720102244,a,,,1958,0,1,0,"u.s. dept. of health, education, and welfare, social security administration, division of program research",
1066135759,i,1--62585,1--62585,2018,1,0,1,published by the history press,
212623644,a,,,1979,0,1,0,may be purchased from union representative,
932834532, ,,,1961,0,0,1,university press,
1090403689,i,1--4742,1--4742,2017,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint
758274106,i,,,1963,0,1,0,university press,
931802587,i,1--62403,1--62403,2014,1,0,1,"checkerboard library, and imprint of abdo publishing",imprint
1088663450,i,1--5247,1--5247,2019,1,0,1,"dutton, an imprint of penguin random house",imprint
962216775,i,1--68077,1--68077,2017,1,0,1,"core library, an imprint of abdo publishing",imprint
1057550560, ,0--6482396,0--6482396,2017,1,1,1,paladin publishing. ;; paladin publishing,double
893041476,i,0--85709,0--85709,2014,1,0,1,woodhead publishing is an imprint of elsevier,imprint
1076547527,i,1--936268,1--936268,2014,1,0,1,"unhooked books, an imprint of high conflict institute press",imprint
930041184,i,1--5093,1--5093,2016,1,0,1,"microsoft press, a division of microsoft corporation",
937999517,i,1--84966,1--84966,2016,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint
3286113,i,,,1976,0,1,0,published for the schools council by macdonald educational,
959965529,i,1--5013,1--5013,2017,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing inc",imprint
945367416,i,1--61893,1--61893,2015,1,0,1,"time books, an imprint of time home entertainment inc",imprint
1066134465,i,0--06,0--06,2018,1,0,1,"harper, an imprint of harpercollinspublishers",imprint
1079066694,i,0--545,0--545,2012,1,0,1,"cartwheel books, an imprint of scholastic inc",imprint
1013957048,i,0--06,0--06,2017,1,0,1,"harper, an imprint of harpercollins publishers",imprint
1037207080,a,0--8063,0--8063,2010,0,0,1,published for the author by clearfield company,
